# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
78                 5.739       5.739       5.748   -0.008926   -0.000116   0.0001196   -0.006383
78.2               5.725       5.725       5.734   -0.008534  -8.117e-05  -0.0002399   0.0001608
78.4                5.71        5.71       5.719   -0.008846  -5.459e-05  -8.558e-05    0.001835
78.6               5.696       5.696       5.704    -0.00868  -7.498e-05  -1.918e-06    0.002271
78.8                5.68        5.68        5.69    -0.00951  -6.904e-05  -6.261e-05   -0.003617
79                 5.665       5.665       5.676    -0.01067  -9.829e-05  -5.944e-05   -0.004622
79.2               5.654       5.654       5.661    -0.00696  -0.0001028  -0.0001872    0.002753
79.4               5.639       5.639       5.647   -0.007866   -1.14e-06  -4.778e-05    0.002699
79.6               5.623       5.623       5.633   -0.009255  -8.367e-05  -6.952e-05    0.001525
79.8               5.612       5.612       5.619   -0.006107  -5.281e-05   -0.000112  -0.0004783
80                 5.596       5.596       5.605   -0.008144  -0.0001395  -3.386e-05   -0.003472
80.2               5.583       5.583       5.591   -0.007152  -0.0001427   -0.000198   0.0003952
80.4                5.57        5.57       5.577   -0.006061  -0.0001201  -7.453e-05    0.000925
80.6               5.555       5.555       5.563   -0.007735   1.464e-05   4.699e-05   -0.002143
80.8               5.543       5.543       5.549   -0.005726  -2.701e-05  -0.0002423    -0.00323
81                 5.528       5.528       5.535   -0.006825  -0.0001084  -8.219e-05  -0.0001611
81.2               5.514       5.514       5.522   -0.007633  -3.587e-05  -8.756e-05    0.006126
81.4               5.502       5.502       5.508   -0.006127  -4.503e-05  -0.0002276   -0.001268
81.6               5.488       5.488       5.495   -0.006436  -7.462e-05  -0.0001139   -0.003187
81.8               5.473       5.473       5.481   -0.007731  -8.005e-05  -0.0001175    0.002698
82                  5.46        5.46       5.468   -0.007784  -1.288e-05  -4.353e-05   -0.001969
82.2               5.447       5.447       5.455   -0.007518  -1.223e-05  -1.317e-05   0.0005057
82.4               5.434       5.434       5.441    -0.00731  -6.688e-05   7.002e-05   0.0008736
82.6               5.423       5.423       5.428   -0.005345  -1.817e-05   0.0001464    0.003043
82.8               5.408       5.408       5.415     -0.0066   -0.000134   0.0001104  -0.0001588
83                 5.397       5.397       5.402   -0.004958   -3.86e-05  -9.146e-05   -0.003949
83.2               5.382       5.382       5.389   -0.006939   3.285e-05  -0.0001146   -0.004648
83.4               5.369        5.37       5.376   -0.006507  -7.124e-05   5.645e-05   -0.002559
83.6               5.359       5.359       5.363   -0.004026  -4.393e-05  -0.0001529   0.0005472
83.8               5.345       5.345        5.35   -0.005681  -0.0001271   -4.69e-05    -0.00195
84                 5.332       5.332       5.338   -0.005707  -6.526e-05  -0.0001899    0.002751
84.2               5.321       5.321       5.325   -0.004098   2.839e-05   0.0001181    -0.00421
84.4               5.308       5.308       5.312    -0.00462  -3.367e-05  -3.224e-05  -5.978e-05
84.6               5.293       5.293         5.3   -0.006951  -4.526e-05   2.429e-05   -0.006866
84.8               5.283       5.283       5.287   -0.003545  -4.729e-05  -0.0002975    0.003484
85                 5.268       5.268       5.275   -0.006675  -9.476e-05  -3.273e-05   -0.003545
85.2               5.257       5.257       5.262   -0.005254  -0.0001065   -7.43e-07   -0.001276
85.4               5.243       5.243        5.25   -0.006903  -9.451e-06  -9.934e-05   0.0007657
85.6               5.232       5.232       5.238   -0.005386  -0.0001329  -1.815e-06    0.003211
85.8               5.219       5.219       5.226   -0.006638   1.517e-05   1.784e-05   -0.001155
86                 5.207       5.207       5.214    -0.00626  -8.559e-05  -2.381e-05    0.001903
86.2               5.196       5.196       5.201   -0.005531  -2.263e-05  -9.211e-05   -0.001387
86.4               5.185       5.185       5.189   -0.004665  -6.231e-05  -2.459e-05   -0.001285
86.6               5.173       5.173       5.177    -0.00464  -0.0001273   2.749e-05   0.0001405
86.8               5.161       5.161       5.165   -0.004511    4.13e-05  -0.0001253    0.003737
87                  5.15        5.15       5.154    -0.00381  -3.898e-06  -6.024e-06     0.00365
87.2               5.139       5.139       5.142   -0.002471  -7.386e-05  -5.091e-05    0.003286
87.4               5.124       5.124        5.13   -0.005807  -4.987e-05  -5.788e-05   -0.003547
87.6               5.114       5.114       5.118   -0.004183   -3.97e-05  -9.084e-05    0.001377
87.8               5.103       5.103       5.107   -0.003605  -0.0001031   6.907e-07   -0.001862
88                 5.089       5.089       5.095   -0.005616   4.132e-05  -7.794e-05   -0.001158
88.2               5.079       5.079       5.084   -0.004511     1.6e-05   8.468e-05   0.0007152
88.4               5.068       5.068       5.072   -0.003727   7.929e-05  -7.127e-05   -0.001296
88.6               5.056       5.056       5.061    -0.00418   7.365e-06   2.913e-05   -0.002927
88.8               5.046       5.046       5.049    -0.00277    2.17e-05  -4.695e-05     0.00247
89                 5.034       5.034       5.038   -0.004051   4.913e-05   -7.69e-05    0.002466
89.2               5.023       5.023       5.026   -0.003879  -8.334e-06   0.0001235  -0.0001004
89.4                5.01        5.01       5.015   -0.004718  -4.046e-05  -1.882e-05    0.001801
89.6               5.001       5.001       5.004   -0.003241  -1.142e-05  -1.229e-05    0.003058
89.8               4.987       4.987       4.993   -0.005353  -4.104e-05  -0.0001269    0.003659
90                 4.978       4.978       4.982   -0.004099    8.14e-06   2.823e-05    0.003318
90.2               4.968       4.968       4.971    -0.00245  -4.075e-05  -0.0001054  -0.0008358
90.4               4.956       4.956        4.96   -0.004039  -8.655e-05   4.354e-05   -0.001427
90.6               4.946       4.946       4.949   -0.002667      -2e-05  -5.457e-05  -0.0007661
