# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
85.8               5.052       5.052       5.226     -0.1452    -0.02898   1.139e-15    0.008546
86                 5.042       5.042       5.214     -0.1454    -0.02642   1.889e-15     0.01293
86.2               5.047       5.047       5.201     -0.1295    -0.02533   2.272e-15     0.01321
86.4               5.019       5.019       5.189     -0.1397    -0.03052   1.614e-15     0.01291
86.6               5.017       5.017       5.177     -0.1336    -0.02666   5.186e-16    0.004705
86.8               5.019       5.019       5.166     -0.1224    -0.02456   1.686e-16     0.01263
87                 5.001       5.001       5.154     -0.1303    -0.02212   2.165e-15     0.00931
87.2               4.994       4.994       5.142     -0.1216    -0.02635   1.348e-15     0.01386
87.4               4.978       4.978        5.13     -0.1269    -0.02481   9.811e-16   0.0001358
87.6               4.978       4.978       5.118     -0.1164    -0.02427   1.177e-15    0.007268
87.8               4.975       4.975       5.107     -0.1093    -0.02225   9.502e-16     0.01153
88                 4.965       4.965       5.095     -0.1056     -0.0243   1.052e-15     0.00533
88.2               4.954       4.954       5.083     -0.1062    -0.02359   1.898e-15    0.006408
88.4               4.949       4.949       5.072     -0.1018    -0.02128   1.672e-15    0.009413
88.6               4.928       4.928       5.061     -0.1105    -0.02159   2.646e-15     0.01035
88.8               4.925       4.925       5.049     -0.1013    -0.02249   2.124e-15    0.006956
89                 4.914       4.914       5.038     -0.1016    -0.02183   6.722e-16    0.009667
89.2               4.909       4.909       5.027    -0.09674    -0.02087   7.111e-17     0.01038
89.4               4.893       4.893       5.015     -0.1006     -0.0218   2.783e-15    0.008847
89.6               4.892       4.892       5.004    -0.09497    -0.01702   1.657e-15    0.004986
89.8               4.882       4.882       4.993    -0.09092    -0.01971   2.458e-15    0.005419
90                 4.869       4.869       4.982    -0.09149    -0.02108   2.048e-15    0.007136
90.2               4.875       4.875       4.971     -0.0756    -0.02016   1.039e-15    0.008821
90.4                4.86        4.86        4.96    -0.08227    -0.01716   2.025e-15    0.003093
90.6               4.857       4.857       4.949    -0.07143    -0.02048   2.313e-15    0.006632
90.8               4.839       4.839       4.938    -0.08122    -0.01741   6.923e-16    0.002185
91                  4.83        4.83       4.927    -0.07929    -0.01766   9.975e-16    0.008624
91.2               4.826       4.826       4.916    -0.07289    -0.01768   1.166e-15    0.007416
91.4               4.822       4.822       4.906     -0.0659     -0.0181   4.152e-16    0.002325
91.6               4.805       4.805       4.895    -0.07217    -0.01743   9.775e-16    0.005223
91.8               4.795       4.795       4.884    -0.07405    -0.01553   1.582e-15    0.007641
92                 4.797       4.797       4.874     -0.0626    -0.01424   1.907e-15    0.003828
92.2               4.786       4.786       4.863    -0.06221    -0.01437   2.486e-15    0.006165
92.4               4.766       4.766       4.852    -0.07286    -0.01375   1.328e-15    0.005425
92.6               4.769       4.769       4.842    -0.05468     -0.0181    1.64e-15    0.002741
92.8               4.757       4.757       4.832    -0.05967    -0.01485   8.075e-16    0.006801
93                 4.749       4.749       4.821     -0.0558    -0.01604   1.182e-15    0.008249
93.2               4.735       4.735       4.811    -0.05882    -0.01719   1.062e-15    0.002846
93.4               4.739       4.739         4.8     -0.0471    -0.01447   1.609e-15   0.0007933
93.6               4.717       4.717        4.79    -0.05955      -0.014   2.103e-15    0.006556
93.8               4.703       4.703        4.78    -0.06019    -0.01676   1.447e-15    0.005937
94                 4.706       4.706        4.77    -0.04745    -0.01623   2.238e-15    0.007781
94.2               4.714       4.714        4.76    -0.03142    -0.01388   8.669e-16     0.00775
94.4               4.697       4.697        4.75    -0.03895     -0.0139   7.625e-16    0.007594
94.6               4.686       4.686        4.74    -0.03807    -0.01523   1.036e-15    0.003874
94.8               4.673       4.673        4.73    -0.04361    -0.01337   1.212e-15    0.002073
95                  4.67        4.67        4.72    -0.03623    -0.01329   1.792e-15    0.004774
95.2               4.652       4.652        4.71    -0.04335    -0.01397   1.111e-15    0.007038
95.4               4.653       4.653         4.7    -0.03427    -0.01277   6.813e-16    0.003533
95.6               4.636       4.636        4.69    -0.04015    -0.01343   1.076e-15    0.004227
95.8               4.633       4.633        4.68    -0.03343    -0.01348   1.451e-15    0.005822
96                 4.634       4.634        4.67    -0.02194    -0.01408   1.468e-15    0.002867
96.2               4.617       4.617       4.661    -0.03191    -0.01216   1.656e-15     0.00392
96.4               4.607       4.607       4.651    -0.03347     -0.0108   2.112e-15    0.002801
96.6                 4.6         4.6       4.641    -0.02833    -0.01315   1.431e-15    0.005105
96.8               4.603       4.603       4.632    -0.01914   -0.009724   1.254e-15    0.001443
97                 4.592       4.592       4.622    -0.02089   -0.009571    8.78e-16      0.0056
97.2               4.585       4.585       4.613    -0.01951   -0.008011  -3.194e-16    0.003224
97.4               4.576       4.576       4.603    -0.01633    -0.01103   1.439e-15    0.008127
97.6               4.569       4.569       4.594    -0.01545   -0.009392   1.062e-15    0.003202
97.8               4.557       4.557       4.585    -0.01801   -0.009854  -1.379e-16     0.00514
98                 4.553       4.553       4.575    -0.01193   -0.009897     1.9e-15    0.007096
98.2               4.539       4.539       4.566    -0.01492    -0.01232   1.164e-15    0.001212
98.4               4.535       4.535       4.557    -0.01187   -0.009182   1.437e-15  -0.0004911
98.6               4.517       4.517       4.547    -0.01899    -0.01164  -2.773e-16    0.006024
98.8               4.519       4.519       4.538    -0.01139   -0.007552   1.285e-15    0.004962
99                 4.512       4.512       4.531    -0.01141   -0.007524   2.433e-15    0.003221
